file	outcome	sheets	cells
poi/clusterfuzz-testcase-minimized-XLSX2CSVFuzzer-6594557414080512.xlsx	zuxlsx_zip_error	0	0
poi/comments.xlsb	zuxlsx_unsupported_format_error	0	0
poi/comments.xlsx	ok	3	6
poi/commentTest.xlsx	ok	1	3
poi/conditional_formatting_cell_is.xlsx	ok	2	22
poi/conditional_formatting_multiple_ranges.xlsx	ok	1	50
poi/conditional_formatting_with_formula_on_second_sheet.xlsx	ok	2	27
poi/ConditionalFormattingSamples.xlsx	ok	18	2540
poi/craftonhills.edu_programreview_report.aspx_goalpriorityreport_0011d159-1eeb-4b63-8833-867b0926e5f3.xlsx	ok	1	36
poi/crash-274d6342e4842d61be0fb48eaadad6208ae767ae.xlsx	zuxlsx_zip_error	0	0
poi/crash-9bf3cd4bd6f50a8a9339d363c2c7af14b536865c.xlsx	zuxlsx_encrypted_error	0	0
poi/customIndexedColors.xlsx	ok	2	34
poi/CustomXMLMapping-singleattributenamespace.xlsx	ok	3	29
poi/CustomXMLMappings-complex-type.xlsx	ok	3	159
poi/CustomXmlMappings-inverse-order.xlsx	ok	3	16
poi/CustomXMLMappings.xlsx	ok	3	16
poi/CVLKRA-KYC_Download_File_Structure_V3.1.xlsx	ok	30	52294
poi/DataTableCities.xlsx	ok	3	271
poi/DataValidationEvaluations.xlsx	ok	1	178
poi/DataValidationListTooLong.xlsx	ok	1	1
poi/DataValidations-49244.xlsx	ok	1	160
poi/dataValidationTableRange.xlsx	ok	2	6908
poi/date.xlsb	zuxlsx_unsupported_format_error	0	0
poi/DateFormatNumberTests.xlsx	ok	2	55
poi/DateFormatTests.xlsx	ok	2	195
poi/decimal-format.xlsx	ok	3	2
poi/deep-data.xlsx	zuxlsx_zip_error	0	0
poi/duplicate-filename-case-insensitive.xlsx	ok	1	1
poi/duplicate-filename.xlsx	ok	1	1
poi/ElapsedFormatTests.xlsx	ok	2	871
poi/evaluate_formula_with_structured_table_references.xlsx	ok	1	7
poi/Excel_file_with_trash_item.xlsx	ok	1	5440
poi/ExcelPivotTableSample.xlsx	ok	3	57
poi/ExcelTables.xlsx	ok	1	36
poi/FillWithoutColor.xlsx	ok	2	972
poi/FormatChoiceTests.xlsx	ok	2	1359
poi/FormatConditionTests.xlsx	ok	2	1367
poi/FormatKM.xlsx	ok	3	59
